date,ticker,open,high,low,close,volume,rsi,macd,signal_line
03-04-2018,TATACONSUM,260.2851283659569,261.74686304587914,256.229973022968,259.1534423828125,2613360,46.88022679337846,-2.588833493,-4.091061283
04-04-2018,TATACONSUM,260.9453112742175,263.16148432700527,254.20239380390743,254.862548828125,3283985,42.54977525841672,-2.119704933,-3.696790013
05-04-2018,TATACONSUM,258.9177286244601,261.2282426435869,256.0414002806276,257.4559936523437,2658707,50.51459784935727,-1.521113397,-3.26165469
06-04-2018,TATACONSUM,259.1534727179102,259.9550813181385,255.5698479850901,257.1730651855469,1852060,62.92735814712163,-1.057366592,-2.82079707
09-04-2018,TATACONSUM,259.3420731740809,265.6134302784782,257.4559490055421,261.9826354980469,4623765,65.60949444121061,-0.298313012,-2.316300258
10-04-2018,TATACONSUM,264.2460328838205,264.71756397120777,258.4933478617009,259.8136291503906,2190930,61.91861859761999,0.1267605177250459,-1.827688103
11-04-2018,TATACONSUM,260.3794889062471,260.61525446505755,256.0413968681399,258.2575988769531,1996390,65.33748390676699,0.3342229988747931,-1.395305883
12-04-2018,TATACONSUM,258.30474047672504,261.98267743817286,256.18285044743106,258.2575988769531,2149205,66.63198941258338,0.4929560197314231,-1.017653502
13-04-2018,TATACONSUM,258.3990358882288,261.5582999297183,256.27714599498603,259.8136291503906,2196800,64.67994079433328,0.7358295362924423,-0.666956895
16-04-2018,TATACONSUM,258.39903002879555,264.24602689180125,257.0315783943912,263.7273254394531,3030999,66.56224840117993,1.2299332257592257,-0.28757887
17-04-2018,TATACONSUM,265.9435424286104,269.0084946019897,261.6997624962389,264.9533386230469,5799262,75.17014764596382,1.700836789408697,0.1101042614977356
18-04-2018,TATACONSUM,266.22642113573943,271.0832140078774,263.35009322308906,267.9239501953125,4719061,76.82545639834322,2.2873674357602454,0.5455568963502376
19-04-2018,TATACONSUM,269.71579498927406,272.21490411692093,267.4524514166877,269.9044189453125,2434183,77.81162788257765,2.878819239189454,1.012209364918081
20-04-2018,TATACONSUM,269.6686390086376,272.3563431690108,267.4995787497729,269.9986877441406,2523492,64.96004937392053,3.316920365552562,1.4731515650449774
23-04-2018,TATACONSUM,271.3190145040255,271.4132977028441,266.5565329847029,267.45245361328125,1687369,63.83666807098102,3.4192439342807006,1.8623700388921225
24-04-2018,TATACONSUM,266.88662258727635,271.6019339404084,265.754936350534,267.028076171875,2131466,73.28537315943692,3.4265927585078657,2.175214582815271
25-04-2018,TATACONSUM,266.9337387647113,274.66686015929736,265.99067658390686,272.6392822265625,4804882,76.05191889191678,3.8409184712135698,2.508355360494931
