date,ticker,open,high,low,close,volume,rsi,macd,signal_line
13-04-2018,HDFCBANK,911.836740817776,917.5120732295048,907.6275243992504,910.4179077148438,1648586,58.29611264684386,6.684530510427749,4.975654370205288
16-04-2018,HDFCBANK,908.0531899975632,922.241521091275,907.9822367956012,918.5052490234376,1423872,61.9912888848873,7.290693819948842,5.43866226
17-04-2018,HDFCBANK,919.1673826433494,922.7144654166063,914.7216940210404,921.5321044921876,1333916,65.12363306749015,7.923981819844812,5.935726172092163
18-04-2018,HDFCBANK,922.714394310864,923.8967551441684,912.8062336207568,914.01220703125,1356360,60.46352381013226,7.72996798447673,6.294574534569076
19-04-2018,HDFCBANK,917.5121289666872,919.7822851622732,914.201518192065,917.0391845703124,1584516,61.57045345358734,7.731340333278922,6.581927694311045
20-04-2018,HDFCBANK,917.9849780309016,927.4438649760936,913.7994321041468,925.0318603515624,4680690,56.16262805536165,8.28190146280167,6.9219224480091714
23-04-2018,HDFCBANK,935.9569194428638,935.9569194428638,879.8184451443057,915.5020751953124,7652310,54.8355313831208,7.858661349960016,7.109270228399341
24-04-2018,HDFCBANK,915.1473999023438,921.3193473202545,910.8909003679142,915.1473999023438,2518708,64.92644650248653,7.40921239088766,7.169258660897006
25-04-2018,HDFCBANK,911.7894617385012,916.566188325178,904.2696347150364,908.4078979492188,2010296,53.658484108358735,6.435020459275279,7.022411020572661
26-04-2018,HDFCBANK,906.5398001620194,917.133707965166,903.914935790478,912.90087890625,3923740,52.182271469966224,5.9568455412306776,6.809297924704264
27-04-2018,HDFCBANK,914.2013868187546,915.3837476397824,904.506028086326,909.6611328,2888504,44.71813410570788,5.25588150917315,6.498614641598042
30-04-2018,HDFCBANK,912.7825880889563,924.511630966712,912.21507796655,919.5457153320312,2304776,57.77263332238283,5.435310784655712,6.2859538702095765
01-05-2018,HDFCBANK,912.7825880889563,924.511630966712,912.21507796655,919.5457153320312,2304776,58.54886296936272,5.513948413200183,6.131552778807698
02-05-2018,HDFCBANK,922.2415735225868,935.4840166295776,920.3497959358735,931.4639892578124,3550024,62.40101795498312,6.463467570233661,6.197935737092891
03-05-2018,HDFCBANK,930.7782285955244,934.0178861162252,920.3497817168956,930.707275390625,2076386,63.248900179590215,7.073370446649847,6.373022679004283
04-05-2018,HDFCBANK,931.7003587277236,941.1592456183604,929.9504877459412,940.4498291015624,3440718,64.0265378319374,8.247790142188364,6.747976171641099
07-05-2018,HDFCBANK,937.2102088560448,939.8823560545447,934.065117294358,935.2001953,2632064,58.49498505379117,8.655153417432302,7.12941162079934
